cik,ticker,name,fraud_start,fraud_end,enforcement_year,label_source,label_strength,standard,sec_xbrl
0000108772,XRX,XEROX CORP,1997,2000,2002,SEC AAER / Litigation Release,gold,US GAAP,True
0000003662,SOC,SUNBEAM CORP/FL/,1996,1998,2001,SEC AAER 1393,gold,US GAAP,False
0000104938,WMI,WASTE MANAGEMENT HOLDINGS INC,1992,1997,1998,SEC AAER 1532,gold,US GAAP,False
0000723612,CD,AVIS BUDGET GROUP (Cendant/CUC),1995,1997,2000,SEC AAER / Litigation Release,gold,US GAAP,True
0001037949,Q,QWEST COMMUNICATIONS INTERNATIONAL INC,1999,2002,2004,SEC AAER 2154,gold,US GAAP,False
0000796486,ADELQ,ADELPHIA COMMUNICATIONS CORP,1998,2002,2002,SEC AAER / DOJ+SEC,gold,US GAAP,False
0000356028,CA,"CA, INC. (Computer Associates)",1998,2000,2004,SEC AAER / DOJ+SEC,gold,US GAAP,True
0000278352,SBL,SYMBOL TECHNOLOGIES INC,1998,2003,2004,SEC AAER / Litigation Release 18734,gold,US GAAP,False
0000014272,BMY,BRISTOL MYERS SQUIBB CO,2000,2001,2004,SEC AAER / Litigation Release 18820,gold,US GAAP,True
0000070318,THC,TENET HEALTHCARE CORP,1999,2002,2007,SEC Litigation Release 20067,gold,US GAAP,True
0000880446,VTSS,VITESSE SEMICONDUCTOR CORP,2001,2006,2010,SEC AAER / Litigation Release 21769,gold,US GAAP,True
0000915840,BZH,BEAZER HOMES USA INC,2000,2007,2009,SEC AAER / Press Release 2009-146,gold,US GAAP,True
0001273931,MGI,MONEYGRAM INTERNATIONAL INC,2007,2008,2010,securities class action (D. Minn.),silver,US GAAP,True
0001320947,DMND,Diamond Foods Inc,2010,2011,2014,SEC AAER / Press Release 2014-4,gold,US GAAP,True
0001490281,GRPN,"Groupon, Inc.",2011,2011,2012,8-K 4.02 restatement + material weakness,silver,US GAAP,True
0000075208,OSG,OVERSEAS SHIPHOLDING GROUP INC,2009,2011,2012,8-K 4.02 non-reliance restatement,silver,US GAAP,True
0001489137,MCP,"Molycorp, Inc.",2012,2012,2013,SEC comment-letter inquiry + class action,silver,US GAAP,True
0000867773,SPWR,SUNPOWER CORP,2008,2009,2009,8-K 4.02 non-reliance restatement,silver,US GAAP,True
0001009626,BRCD,Brocade Communications Systems Inc,1999,2004,2007,SEC AAER / Litigation Release,gold,US GAAP,False
0000946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,1997,2006,2009,SEC AAER / Litigation Release,gold,US GAAP,True
0001030471,UTSI,UTSTARCOM HOLDINGS CORP.,2002,2005,2009,SEC AAER / Litigation Release,gold,US GAAP,True
0000018169,DOLE,Dole Food Co Inc,2013,2013,2015,Delaware Chancery fraud ruling; securities litigation,silver,US GAAP,True
0001648428,SQBG,"Sequential Brands Group, Inc.",2016,2017,2020,SEC AAER / Litigation Release,gold,US GAAP,True
0000731012,HCSG,"Healthcare Services Group, Inc.",2014,2015,2020,SEC AAER / Press Release 2020-243,gold,US GAAP,True
0001031296,FE,FIRSTENERGY CORP,2017,2020,2024,SEC AAER / settled order (2024); DOJ DPA,gold,US GAAP,True
